date,coawst_pred
2018-07-07,64.48273907125
2018-07-08,64.69954879857143
2018-07-09,64.93097855767857
2018-07-10,65.15518286297619
2018-07-11,65.45856092011906
2018-07-12,65.93017808071428
2018-07-13,66.4783199532143
2018-07-14,67.04145995761905
2018-07-15,67.51785440613095
2018-07-16,67.98453027553572
2018-07-17,68.40670939642858
2018-07-18,68.69673280232142
2018-07-19,68.81252633244047
2018-07-20,68.87743273553572
2018-07-21,68.97475557880952
2018-07-22,69.14634476845238
2018-07-23,69.12036335470238
2018-07-24,68.93426876434525
2018-07-25,68.46166261154762
2018-07-26,67.66156348
2018-07-27,66.59040062303572
2018-07-28,65.18138381041668
2018-07-29,63.33307455511905
2018-07-30,61.57590514815477
2018-07-31,59.98135120595238
2018-08-01,58.71268787863096
2018-08-02,57.73993374547619
