ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt,abs_salt_diff_052
2019-01-03 11:00:00,-0.96875,-75.55833606397199,39.498754373308785,54.02989215368692,0.5560017,0.036001742
2019-01-03 12:00:00,-0.96875,-75.54758671306891,39.528056396460165,56.017743651463405,0.5436873,0.023687303
2019-01-03 13:00:00,-0.96875,-75.54039141371236,39.55396275711659,57.81925031963709,0.49099234,0.029007643
2019-01-03 14:00:00,-0.96875,-75.55670449282687,39.58148734184725,59.7929897575911,0.50134146,0.018658519
2019-01-03 15:00:00,-0.96875,-75.56594782200527,39.594253910573016,60.73585910333307,0.59570694,0.07570696
2019-01-03 16:00:00,-0.96875,-75.56770316135697,39.596906195786474,60.94659352112151,0.5162346,0.0037654042
2019-01-03 17:00:00,-0.96875,-75.55670449282687,39.58148734184725,59.7929897575911,0.540605,0.020605028
2019-01-03 18:00:00,-0.96875,-75.54263978202111,39.558379582615764,58.10659291844498,0.45481,0.06518999
2019-01-03 19:00:00,-0.96875,-75.54667083323301,39.530513673502796,56.18394976123079,0.48633114,0.033668846
2019-01-03 20:00:00,-0.96875,-75.56014818259959,39.494219056982175,53.722923813142586,0.509212,0.010787964
2019-01-03 21:00:00,-0.96875,-75.56208222806097,39.46569689292546,51.71976112094247,0.519955,4.5001507e-05
2019-01-03 22:00:00,-0.96875,-75.56277004863482,39.46843508885267,51.91448438901112,0.4015165,0.118483484
2019-01-03 23:00:00,-0.96875,-75.56071931627203,39.49012017521256,53.43769264150382,0.4962342,0.023765773
2019-01-04 00:00:00,-0.96875,-75.55654394899307,39.503452146066486,54.34823215943785,0.4952684,0.024731576
2019-01-04 01:00:00,-0.96875,-75.54667083323301,39.530513673502796,56.18394976123079,0.45160875,0.06839123
2019-01-04 02:00:00,-0.96875,-75.54118271286877,39.54717145539737,57.320520744560696,0.6308523,0.1108523
2019-01-04 03:00:00,-0.96875,-75.54988125650517,39.571937139302605,59.11038129813908,0.48431852,0.035681456
2019-01-04 04:00:00,-0.96875,-75.55280828835795,39.57661585798313,59.45087585903198,0.5173293,0.0026707053
2019-01-04 05:00:00,-0.96875,-75.54988125650517,39.571937139302605,59.11038129813908,0.56451315,0.044513166
2019-01-04 06:00:00,-0.96875,-75.54372872550329,39.56060468734208,58.27272330966954,0.5821397,0.06213969
2019-01-04 07:00:00,-0.96875,-75.54595432933559,39.535286030627844,56.515033912846405,0.4817175,0.038282484
2019-01-04 08:00:00,-0.96875,-75.56071931627203,39.49012017521256,53.43769264150382,0.5294111,0.009411097
2019-01-04 09:00:00,-0.96875,-75.56137762505978,39.462978018172244,51.522449969842064,0.52108926,0.0010892749
2019-01-04 10:00:00,-0.96875,-75.56208222806097,39.46569689292546,51.71976112094247,0.44873753,0.07126245
2019-01-04 11:00:00,-0.96875,-75.56413901113912,39.48041963683643,52.750014670128905,0.57422173,0.05422175
2019-01-04 12:00:00,-0.96875,-75.55654394899307,39.503452146066486,54.34823215943785,0.47807038,0.041929603
2019-01-04 13:00:00,-0.96875,-75.54595432933559,39.535286030627844,56.515033912846405,0.4739155,0.046084493
2019-01-04 14:00:00,-0.96875,-75.54690967488298,39.565108505550555,58.59509620557732,0.48104268,0.038957298
2019-01-04 15:00:00,-0.96875,-75.55941122839823,39.5863517454669,60.15200122875335,0.45103532,0.06896466
2019-01-04 16:00:00,-0.96875,-75.56594782200527,39.594253910573016,60.73585910333307,0.59851336,0.078513384
2019-01-04 17:00:00,-0.96875,-75.56307821206644,39.59146102315327,60.51655196380821,0.5970728,0.0770728
2019-01-04 18:00:00,-0.96875,-75.55082137484473,39.574231101847616,59.28463693121821,0.45266142,0.067338556
2019-01-04 19:00:00,-0.96875,-75.54021046589138,39.54948330203355,57.47658609565121,0.54497945,0.024979472
2019-01-04 20:00:00,-0.96875,-75.55266705990525,39.510904329459024,54.838169876355856,0.5190848,0.0009151697
2019-01-04 21:00:00,-0.96875,-75.56413901113912,39.48041963683643,52.750014670128905,0.54519224,0.02519226
2019-01-04 22:00:00,-0.96875,-75.5610184469298,39.461621877478535,51.422493392436365,0.49203634,0.027963638
2019-01-04 23:00:00,-0.96875,-75.56257879717236,39.48598606222611,53.143809330233445,0.5410212,0.021021247
