datetime,saltfront_daily,saltfront7_weekly
2000-08-05T00:00:00Z,66.39,67.68142857142857
2000-08-06T00:00:00Z,66.41,67.41
2000-08-07T00:00:00Z,65.62,67.01285714285714
2000-08-08T00:00:00Z,65.34,66.58
2000-08-09T00:00:00Z,65.93,66.28142857142858
2000-08-10T00:00:00Z,65.95,66.06428571428572
2000-08-11T00:00:00Z,66.63,66.03857142857143
2000-08-12T00:00:00Z,67.16,66.14857142857143
2000-08-13T00:00:00Z,68.26,66.41285714285713
2000-08-14T00:00:00Z,68.72,66.85571428571428
2000-08-15T00:00:00Z,68.2,67.2642857142857
2000-08-16T00:00:00Z,67.81,67.53285714285714
2000-08-17T00:00:00Z,67.71,67.78428571428572
2000-08-18T00:00:00Z,67.85,67.95857142857143
2000-08-19T00:00:00Z,67.89,68.06285714285714
2000-08-20T00:00:00Z,68.16,68.04857142857142
2000-08-21T00:00:00Z,67.92,67.9342857142857
2000-08-22T00:00:00Z,67.82,67.88
2000-08-23T00:00:00Z,68.2,67.93571428571428
2000-08-24T00:00:00Z,67.86,67.95714285714284
2000-08-25T00:00:00Z,68.09,67.99142857142856
2000-08-26T00:00:00Z,68.48,68.07571428571428
2000-08-27T00:00:00Z,68.43,68.11428571428571
2000-08-28T00:00:00Z,68.17,68.14999999999999
2000-08-29T00:00:00Z,68.44,68.23857142857142
2000-08-30T00:00:00Z,68.61,68.29714285714286
2000-08-31T00:00:00Z,68.75,68.42428571428572
2000-09-01T00:00:00Z,68.85,68.53285714285714
2000-09-02T00:00:00Z,68.88,68.59
2000-09-03T00:00:00Z,68.88,68.6542857142857
2000-09-04T00:00:00Z,68.83,68.74857142857142
2000-09-05T00:00:00Z,68.98,68.82571428571428
2000-09-06T00:00:00Z,69.56,68.96142857142857
2000-09-07T00:00:00Z,69.35,69.04714285714284
2000-09-08T00:00:00Z,69.26,69.10571428571428
2000-09-09T00:00:00Z,69.14,69.14285714285714
2000-09-10T00:00:00Z,69.51,69.23285714285714
2000-09-11T00:00:00Z,69.68,69.35428571428571
2000-09-12T00:00:00Z,69.8,69.47142857142858
2000-09-13T00:00:00Z,69.75,69.49857142857142
2000-09-14T00:00:00Z,69.81,69.56428571428572
2000-09-15T00:00:00Z,69.89,69.6542857142857
2000-09-16T00:00:00Z,69.47,69.70142857142856
2000-09-17T00:00:00Z,69.52,69.70285714285714
2000-09-18T00:00:00Z,69.08,69.61714285714285
2000-09-19T00:00:00Z,69.44,69.56571428571428
2000-09-20T00:00:00Z,69,69.45857142857143
2000-09-21T00:00:00Z,68.75,69.30714285714285
2000-09-22T00:00:00Z,68.74,69.14285714285714
2000-09-23T00:00:00Z,69.06,69.08428571428571
2000-09-24T00:00:00Z,69.14,69.03
2000-09-25T00:00:00Z,69.16,69.04142857142857
2000-09-26T00:00:00Z,69.29,69.02
2000-09-27T00:00:00Z,69.44,69.08285714285714
2000-09-28T00:00:00Z,69.05,69.12571428571428
2000-09-29T00:00:00Z,69.15,69.1842857142857
2000-09-30T00:00:00Z,69.35,69.22571428571429
2000-10-01T00:00:00Z,69.27,69.24428571428571
2000-10-02T00:00:00Z,69.4,69.27857142857142
2000-10-03T00:00:00Z,69.55,69.31571428571428
2000-10-04T00:00:00Z,69.32,69.29857142857142
2000-10-05T00:00:00Z,69.05,69.29857142857142
2000-10-06T00:00:00Z,69.51,69.35
2000-10-07T00:00:00Z,69.6,69.38571428571427
2000-10-08T00:00:00Z,70.06,69.49857142857142
2000-10-09T00:00:00Z,70.22,69.61571428571428
2000-10-10T00:00:00Z,70.57,69.76142857142857
2000-10-11T00:00:00Z,70.13,69.87714285714286
2000-10-12T00:00:00Z,70,70.01285714285713
2000-10-13T00:00:00Z,70.16,70.10571428571428
2000-10-14T00:00:00Z,70.27,70.20142857142856
2000-10-15T00:00:00Z,70.41,70.25142857142856
2000-10-16T00:00:00Z,70.68,70.31714285714285
2000-10-17T00:00:00Z,71.39,70.4342857142857
2000-10-18T00:00:00Z,71.6,70.64428571428572
2000-10-19T00:00:00Z,71.19,70.8142857142857
2000-10-20T00:00:00Z,71.27,70.97285714285714
2000-10-21T00:00:00Z,71.16,71.1
2000-10-22T00:00:00Z,70.89,71.16857142857143
2000-10-23T00:00:00Z,71.06,71.22285714285714
2000-10-24T00:00:00Z,71.22,71.19857142857143
2000-10-25T00:00:00Z,71.07,71.12285714285714
2000-10-26T00:00:00Z,71.29,71.13714285714285
2000-10-27T00:00:00Z,71.76,71.20714285714286
2000-10-28T00:00:00Z,71.96,71.32142857142857
2000-10-29T00:00:00Z,71.73,71.44142857142857
2000-10-30T00:00:00Z,72.04,71.58142857142857
2000-10-31T00:00:00Z,72.58,71.77571428571429
2000-11-01T00:00:00Z,73.88,72.17714285714285
2000-11-02T00:00:00Z,74.75,72.67142857142856
2000-11-03T00:00:00Z,75.29,73.17571428571428
2000-11-04T00:00:00Z,75.18,73.63571428571427
